City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
659,Aguimes,ES,27.91,-15.45,78.01,73,20,29.97,few clouds
660,Huarmey,PE,-10.07,-78.15,67.23,68,5,10.65,clear sky
661,Balakhta,RU,55.38,91.6,57.78,91,100,2.82,overcast clouds
662,Rudozem,BG,41.48,24.85,78.8,53,18,10.29,few clouds
663,Buraydah,SA,26.33,43.98,100.4,19,54,4.7,broken clouds
664,Bonavista,CA,48.65,-53.11,60.01,82,54,8.01,broken clouds
665,Ozernovskiy,RU,51.5,156.52,54.52,85,100,6.33,light rain
666,Lukovetskiy,RU,64.3,41.92,51.8,93,75,4.47,broken clouds
667,Pangnirtung,CA,66.15,-65.71,51.8,87,40,12.75,scattered clouds
668,Port Keats,AU,-14.25,129.55,61.59,74,3,4.18,clear sky
669,Itaguacu,BR,-19.8,-40.86,70.68,62,40,5.08,scattered clouds
670,San Ramon,US,37.78,-121.98,87.01,35,1,8.05,clear sky
